"size";"naive";"better";"blas"
450;0.909392;0.515590;0.218947
450;0.749206;0.483182;0.203181
450;0.733415;0.486690;0.188436
450;0.754121;0.482712;0.188537
450;0.766266;0.485162;0.174701
450;0.781208;0.465593;0.185173
460;0.867798;0.526042;0.202426
460;0.827030;0.509745;0.203080
460;0.953052;0.515851;0.198643
460;0.755422;0.514076;0.204663
460;0.897051;0.516940;0.184409
460;0.757273;0.494150;0.181432
460;0.826407;0.493843;0.189438
460;0.752317;0.487949;0.183156
460;0.719083;0.489127;0.179438
460;0.696296;0.483133;0.179686
470;0.698454;0.523399;0.204708
470;0.764103;0.528182;0.199894
470;0.722906;0.530362;0.244341
470;0.797214;0.529371;0.193735
470;0.707443;0.518655;0.197942
470;0.684477;0.523125;0.191869
470;0.688730;0.519729;0.198137
470;0.685347;0.523497;0.193802
470;0.696154;0.527031;0.194316
470;0.688503;0.520484;0.194260
480;0.801100;0.551734;0.205532
480;0.800956;0.548117;0.204049
480;0.796659;0.548819;0.204262
480;0.796340;0.554821;0.208513
480;0.787610;0.548382;0.211188
480;0.789245;0.579724;0.216575
480;0.843972;0.565255;0.214642
480;0.953098;0.555650;0.203657
480;1.170348;0.593167;0.221129
480;1.242577;0.579461;0.262743
490;0.915048;0.615717;0.222746
490;0.979295;0.602053;0.217271
490;0.790379;0.632056;0.247985
490;1.220949;0.635133;0.283128
490;1.058940;0.605060;0.280914
490;1.006884;0.613219;0.244832
490;0.795843;0.589683;0.267047
490;0.980990;0.611869;0.251749
490;1.041612;0.592307;0.220403
490;0.790580;0.583185;0.229853
