"typ";"rozmiar";"pomiar"
0;16000;160.000000
0;16000;150.000000
0;16000;150.000000
0;16000;150.000000
0;16000;150.000000
0;16000;150.000000
0;16000;150.000000
0;16000;160.000000
0;16500;150.000000
0;16500;160.000000
0;16500;160.000000
0;16500;160.000000
0;16500;160.000000
0;16500;160.000000
0;16500;160.000000
0;16500;150.000000
0;16500;150.000000
0;16500;430.000000
0;17000;160.000000
0;17000;160.000000
0;17000;160.000000
0;17000;160.000000
0;17000;160.000000
0;17000;370.000000
0;17000;160.000000
0;17000;160.000000
0;17000;160.000000
0;17000;160.000000
0;17500;290.000000
0;17500;170.000000
0;17500;160.000000
0;17500;160.000000
0;17500;160.000000
0;17500;160.000000
0;17500;160.000000
0;17500;160.000000
0;17500;160.000000
0;17500;160.000000
0;18000;170.000000
0;18000;170.000000
0;18000;180.000000
0;18000;200.000000
0;18000;190.000000
0;18000;190.000000
0;18000;210.000000
0;18000;200.000000
0;18000;190.000000
0;18000;340.000000
0;18500;180.000000
0;18500;170.000000
0;18500;170.000000
0;18500;310.000000
0;18500;170.000000
0;18500;170.000000
0;18500;170.000000
0;18500;170.000000
0;18500;170.000000
0;18500;170.000000
0;19000;280.000000
0;19000;180.000000
0;19000;180.000000
0;19000;180.000000
0;19000;180.000000
0;19000;180.000000
0;19000;180.000000
0;19000;180.000000
0;19000;180.000000
0;19000;180.000000
0;19500;190.000000
0;19500;180.000000
0;19500;180.000000
0;19500;180.000000
0;19500;180.000000
0;19500;190.000000
0;19500;190.000000
0;19500;190.000000
0;19500;190.000000
0;19500;190.000000
0;20000;190.000000
0;20000;190.000000
0;20000;180.000000
0;20000;190.000000
0;20000;190.000000
0;20000;190.000000
0;20000;190.000000
0;20000;180.000000
0;20000;190.000000
0;20000;190.000000
0;20500;200.000000
0;20500;200.000000
0;20500;200.000000
0;20500;200.000000
0;20500;190.000000
0;20500;190.000000
0;20500;190.000000
0;20500;190.000000
0;20500;190.000000
0;20500;270.000000
0;21000;200.000000
0;21000;200.000000
0;21000;190.000000
0;21000;200.000000
0;21000;200.000000
0;21000;190.000000
0;21000;200.000000
0;21000;200.000000
0;21000;200.000000
0;21000;200.000000
0;21500;210.000000
0;21500;200.000000
0;21500;200.000000
0;21500;210.000000
0;21500;210.000000
0;21500;200.000000
0;21500;200.000000
0;21500;200.000000
0;21500;200.000000
0;21500;210.000000
0;22000;210.000000
0;22000;210.000000
0;22000;210.000000
0;22000;200.000000
0;22000;210.000000
0;22000;210.000000
0;22000;210.000000
0;22000;200.000000
0;22000;210.000000
0;22000;210.000000
0;22500;210.000000
0;22500;210.000000
0;22500;210.000000
0;22500;210.000000
0;22500;220.000000
0;22500;220.000000
0;22500;210.000000
0;22500;210.000000
0;22500;210.000000
0;22500;210.000000
0;23000;220.000000
0;23000;220.000000
0;23000;220.000000
0;23000;220.000000
0;23000;220.000000
0;23000;210.000000
0;23000;220.000000
0;23000;220.000000
0;23000;220.000000
0;23000;210.000000
0;23500;270.000000
0;23500;260.000000
0;23500;260.000000
0;23500;270.000000
0;23500;270.000000
0;23500;270.000000
0;23500;270.000000
0;23500;280.000000
0;23500;270.000000
0;23500;270.000000
0;24000;290.000000
0;24000;280.000000
0;24000;290.000000
0;24000;280.000000
0;24000;280.000000
0;24000;230.000000
0;24000;230.000000
0;24000;230.000000
0;24000;230.000000
0;24000;220.000000
0;24500;230.000000
0;24500;230.000000
0;24500;230.000000
0;24500;240.000000
0;24500;230.000000
0;24500;230.000000
0;24500;240.000000
0;24500;230.000000
0;24500;230.000000
0;24500;240.000000
0;25000;240.000000
0;25000;240.000000
0;25000;230.000000
0;25000;230.000000
0;25000;240.000000
0;25000;240.000000
0;25000;240.000000
0;25000;240.000000
0;25000;240.000000
0;25000;230.000000
0;25500;250.000000
0;25500;240.000000
0;25500;240.000000
0;25500;240.000000
0;25500;240.000000
0;25500;240.000000
0;25500;240.000000
0;25500;240.000000
0;25500;240.000000
0;25500;240.000000
0;26000;250.000000
0;26000;240.000000
0;26000;250.000000
0;26000;250.000000
0;26000;250.000000
0;26000;250.000000
0;26000;250.000000
0;26000;250.000000
0;26000;240.000000
0;26000;240.000000
0;26500;250.000000
0;26500;250.000000
0;26500;250.000000
0;26500;250.000000
0;26500;260.000000
0;26500;250.000000
0;26500;250.000000
0;26500;250.000000
0;26500;250.000000
0;26500;250.000000
0;27000;250.000000
0;27000;260.000000
0;27000;260.000000
0;27000;260.000000
0;27000;260.000000
0;27000;260.000000
0;27000;260.000000
0;27000;260.000000
0;27000;260.000000
0;27000;260.000000
0;27500;270.000000
0;27500;260.000000
0;27500;260.000000
0;27500;260.000000
0;27500;260.000000
0;27500;270.000000
0;27500;260.000000
0;27500;270.000000
0;27500;260.000000
0;27500;260.000000
0;28000;260.000000
0;28000;270.000000
0;28000;270.000000
0;28000;270.000000
0;28000;270.000000
0;28000;270.000000
0;28000;270.000000
0;28000;260.000000
0;28000;260.000000
0;28000;260.000000
